komentar,tfidf_positif,tfidf_negatif,sentimen
"Driver gojek yg lama"" pada Sok... sombong!. Anarkis! Gak sopan!. Kasihan driver yg baru di jatuhkan dengan menjelek""an driver yg baru oleh driver yg lama! Kasihan! Tolong lebih bijak woooyyy!!",514.4007227742,441.4872291818,negatif
"Apa apaan ini,, ga bisa order, permintaan di tolak, tiap mau order gofood ga bisa permintaan di tolak truss aplikasi ini udah ga cocok di gunakan! Pindah k grab aja.",421.5660391109,489.2144169261,negatif
"Kecewa sama gojek... Kemarin & hari ini ada promo payday 50%, tapi waktu saya gunakan promonya ternyata akun gojek saya bermasalah, sudah ganti PIN, sudah di update aplikasi nya, sudah log out kemudian login, tapi tetap tidak bisa digunakan.... Kecewa sekali atas pelayanan anda!!!!!",860.9989296472,1011.073998507,negatif
"Saya menggunakan apps ini dukarenakan saya butuh, tapi saya sering mendapat kendala pada aplikasi ini. Terkadang GPS tidak realtime dan tidak accuracy. Kadang driver tidak mau menjemput dengan cara dia menghindar jauh dari titik penjemputan dan membuat saya menunggu lama sekali tanpa kepastian. Modu...Ulasan LengkapSaya menggunakan apps ini dukarenakan saya butuh, tapi saya sering mendapat kendala pada aplikasi ini. Terkadang GPS tidak realtime dan tidak accuracy. Kadang driver tidak mau menjemput dengan cara dia menghindar jauh dari titik penjemputan dan membuat saya menunggu lama sekali tanpa kepastian. Modus driver yaitu tidak meng cancel agar performa nya tidak turun, tapi dia tidak mau menjemput dengan cara menghindar jauh. Sehingga membuat saya kesal dan ordernya saya cancel tnpa hrus dia yg mlakukan",7800.9304280304,9986.2382265334,negatif
Saya kssi Bintang satu ya..kenapa sii aplikasi susah kali d pakai akhir2 ini..masa d blg saya offline pdhl kalo grab bsa..saya mah pake Telkomsel..kenapa begini saya sudah update brpa x. Kalo bukan Krn pay later saya yg hanya puluhan ribu saya sudah uninstall aplikasi ini..tlong ini knp..saya tdk ma...Ulasan LengkapSaya kssi Bintang satu ya..kenapa sii aplikasi susah kali d pakai akhir2 ini..masa d blg saya offline pdhl kalo grab bsa..saya mah pake Telkomsel..kenapa begini saya sudah update brpa x. Kalo bukan Krn pay later saya yg hanya puluhan ribu saya sudah uninstall aplikasi ini..tlong ini knp..saya tdk mau kena denda dan saya orgnya kooperatif.terimakasih,4060.2769863574,4742.4320453299,negatif
Kenapa saya beri nilai 1 bintang saja..karena apa..semalam saya pesan ojol..saya sampai menunggu 5 menit lbih lama nya..dengan alasan sang ojol pakai jaket dulu..emang nya pakai jaket selama itu kah?? Ohhh nooo...ternyata..sang ojol mulut nya bau miras..haruskah ojol kayak gitu di biarkan begitu saj...Ulasan LengkapKenapa saya beri nilai 1 bintang saja..karena apa..semalam saya pesan ojol..saya sampai menunggu 5 menit lbih lama nya..dengan alasan sang ojol pakai jaket dulu..emang nya pakai jaket selama itu kah?? Ohhh nooo...ternyata..sang ojol mulut nya bau miras..haruskah ojol kayak gitu di biarkan begitu saja??? Kalau di jalan kenapa2 gimana??padahal mengendarai kendraan bermotor dalam kondisi pengaruh alcohol itu sangat tidak baik...tolong dong..buat aturan yang lebih tegas lagi..ini ke dua kali nya lo,9321.8320072811,9730.1511222181,negatif
"Saya tidak bisa login, padahal nomer yang dimasukin sudah benar, tapi ketika ingin login ada katakata ' ups ada yang salah'.sudah menghubungi via sosmed tidak ada respon",247.1512412815,383.2560096935,negatif
banyak oknum yang tidak bertanggung jawab alasan memberi hadi gopay senilai 2jt dan situs gojek bisa di buat2 seolah2 benar. intinya keamanan pihan aplikasi ini kurang begitu aman. masih banyak kebocoran2 yang bahaya dan merugikan banyak orang. uninstal,954.8185419223,982.8109543836,negatif
"KOK GOJEK SAYA KALO MAU BELI BARANG ATAU TOP UP KOK GK BISA BAYAR PAKE GOJEK BANGSAT!!!!!!!!!!!!!!!凸(-_-)凸 DAN PASWORD NYA KALO BENER KOK ADA TULISAN KAYA ""KAMU SUDAH BERULANG KALI MENGIRIM KODE SALAH COBA LAGI DI HARI BERIKUTNYA"" ITU MULU",175.0967671666,0,negatif
"Kecepatan dapat drivernya kalah sama aplikasi sebelah. Walaupun aplikasi agak lebih mahal tapi pelayanan dan dapat drivernya cepat.. Ini iya murah sih, tapi nunggunya 30 menit. Driver bisa pilih-pilih orderan.. Coba di tingkatkan lagi pelayanannya, dengan harga yang murah ini saya jamin orang akan l...Ulasan LengkapKecepatan dapat drivernya kalah sama aplikasi sebelah. Walaupun aplikasi agak lebih mahal tapi pelayanan dan dapat drivernya cepat.. Ini iya murah sih, tapi nunggunya 30 menit. Driver bisa pilih-pilih orderan.. Coba di tingkatkan lagi pelayanannya, dengan harga yang murah ini saya jamin orang akan lebih sering menggunakan GOJEK",5620.848135026,5759.5709172406,negatif
Saya sudah 2 kali Top Up Go Pay di ATM BNI. Namun saldo di Aplikasi tidak masuk. Sementara saldo di rekening berkurang. Setelah di konfirmasi ke BNI katanya laporan dari go Jek sudah di transfer ke go Pay. Padahal sama sekali tidak masuk ke saldo go Pay saya. Sangat merugikan. Sudah 750 ribu uang sa...Ulasan LengkapSaya sudah 2 kali Top Up Go Pay di ATM BNI. Namun saldo di Aplikasi tidak masuk. Sementara saldo di rekening berkurang. Setelah di konfirmasi ke BNI katanya laporan dari go Jek sudah di transfer ke go Pay. Padahal sama sekali tidak masuk ke saldo go Pay saya. Sangat merugikan. Sudah 750 ribu uang saya hilang di Go Jek.,4788.3772201131,5537.2102833693,negatif
SE BELUMNYA SAYA MOHON MAAF JIKA MENYINGGUNG.BAPAK PIMPINAN !! SESANGAT KECEWA KARENA LAPORAN * PENGISIAN GOPAY YG BLUM MASUK HANYA DI TRIMA.. TAMPA DI RESPON.TIDAK ADA JAWABAN! SEJAK TANGGAL 6 DESEMBER TADI MOHON DENGAN SANGAT AGAR BISA DI RESPON RESI TELAH SAYA KIRIM KAN KE EMAIL... MOHON KEPADA B...Ulasan LengkapSE BELUMNYA SAYA MOHON MAAF JIKA MENYINGGUNG.BAPAK PIMPINAN !! SESANGAT KECEWA KARENA LAPORAN * PENGISIAN GOPAY YG BLUM MASUK HANYA DI TRIMA.. TAMPA DI RESPON.TIDAK ADA JAWABAN! SEJAK TANGGAL 6 DESEMBER TADI MOHON DENGAN SANGAT AGAR BISA DI RESPON RESI TELAH SAYA KIRIM KAN KE EMAIL... MOHON KEPADA BAPAK/ IBU PENGURUS PT GOJEK AGAR DI TINDAK LANJUTKAN .. TERIMA KASIH BANYAK,0,1127.3066749587,negatif
Super gobis semakin gk jelas masak minta ganti menunya ke drivernya tidak bisa gimana sistemnya sekarang ini semakin tidak jelas cancel harus lewat call center seharusnya yg bisa cancel driverr pa customer lah... Sebelumnya restonya enak mau ganti menu2 free sekarang malah tidak bisa,1370.2831641604,1020.3410235747,negatif
"Tolong saya butuh org yg nama Fotman, dia driver gojek dari batam, saya minta tolong jumpa kan saya sama dia, dia udah gk sopan, dia mabuk dan maki maki costemer, tolong di respon ini atau saya pandang jelek pihak gojek ini, karna kmi tadi rame di sini, info lanjut kabarin saya",1607.8603579793,2167.2098501925,negatif
"Setiap ada kendala, solusi lama dan ga ada tindak lanjut, terkesan menyepelekan customer, disuruh ngejar misi, promo tp ga siap , sdh tuntas malah Zonk, penjelasan CS nya Terkesan Bod*h dan malas baca ketentuan yg mereka buat sendiri.",714.4873862816,871.5901803963,negatif
"Kurang tanggap dalam menghadapi keluhan, email nggak dibalas. Sudah mengadu keluhan lewat panggilan katanya harus melengkapi data lewat email, guwe bales email-nya nggak ada respon 👎👎",251.0115827145,438.8763978687,negatif
"Gopay saya jelas ada 9 rb lebih, ketika aplikasi perintahkan masuk lg akun, kok tiba2 gopay saya ilang. Mohon kebijakannya atas kejadian ini, saya merasa dirugikan.",273.5378553058,434.5942594442,negatif
"Oiii Pengembang aplikasi ini. hapus fitur cancel pesanan dongg,, kasian kan para Ojol. Udah beli pesenan sampe berjuta- juta ehhh dicancel, karena fitur cancel semakin maraknya Prank ojol, dan para ojol yang terima diPrank otaknya mana, ambil dong kesempatan?",735.3135624422,1154.4955298921,negatif
"Apakah kalian butuh waktu ratusan hari untuk memperbaiki servernya aplikasi gojek. Sudah di update berulang kali, Selalu saja server kami sedang sibuk. Kami masih memperbaikinya . Capek kalau seperti ini terus.",309.0772363712,391.8721699454,negatif
"Sebenarnya bagus, tapi kenapa sekarang sy gabisa order apapun dari aplikasi kalo lewat hp sy. Sy harus pindahkan app ke hp teman atau saudara untuk penarikan gopay dan pesan lainlain. Setiap order selalu muncul ""permintaan ditolak"". Tolong di cek. Sy sudah kirim keluhan sy lewat email tapi tidak ada...Ulasan LengkapSebenarnya bagus, tapi kenapa sekarang sy gabisa order apapun dari aplikasi kalo lewat hp sy. Sy harus pindahkan app ke hp teman atau saudara untuk penarikan gopay dan pesan lainlain. Setiap order selalu muncul ""permintaan ditolak"". Tolong di cek. Sy sudah kirim keluhan sy lewat email tapi tidak ada respon sama sekali.",2672.6496414354,3369.2876137865,negatif
"mau login error melulu, tapi ngga ada penjelasan error gimana. mau upgrade gopay kamera mental mulu. disuruh pindah device, oke, saya coba di hp lain, tapi pas mau narik ke bank, saldo jadi Rp. 0. respon CS tidak solutif.",684.3051171188,953.3471742753,negatif
"Akun dibekukan krn aku sering cancel. Terutama hari ini 29.11.19,,, pdhl,, para driver yg tdk membawa uang yg cukup utk orderan hokben saya yg hanya Rp, 124.250,- utk membeli 3 paket hokben saya. 3x driver yg minta dibatalkan krn uang mereka kurang... sedihhhh dehhhh...",965.4286780922,1146.9697398651,negatif
"Kapok deh pake gojek sumpah masa disuruh ganti hp biar bisa gunain gojek lagi??? Heloww?? Nemen amaat ya, saya pengguna lama loh. Mending pake grab deh. Gojek sekarang ribet guys.",265.2597557943,490.7880789403,negatif
"Makin hari makin males ni pakai gojek, mending pakai grab, driver suka lama, padahal driver yg dekat banyak, tapi yg masuk malah driver yg jauh, jadi lama nunggu nya, gw bukan salahin driver yg lama datang tapi kenapa malah driver yg jauh yg dapat orderan, jdi gw lama nungguin, mending gw pakai grab...Ulasan LengkapMakin hari makin males ni pakai gojek, mending pakai grab, driver suka lama, padahal driver yg dekat banyak, tapi yg masuk malah driver yg jauh, jadi lama nunggu nya, gw bukan salahin driver yg lama datang tapi kenapa malah driver yg jauh yg dapat orderan, jdi gw lama nungguin, mending gw pakai grab deh,",3212.7808198978,4933.8815586586,negatif
"Saya pengguna lama gojek..baru kali ini saya ada trouble pada saat ikut mission gofood yg ketiga aplikasi error jadi mengantung, pdhal driver sdh dpt oderan baru.seharusnya mission selesai malah jadi mengantung.sudah di email no respon!!",492.5667512854,671.1843224856,negatif
"Saya sangat kecewa dengan aplikasi gojek. Sudah berulang-ulang kali saya upgred untuk tarik saldo saya. Ehh... Malah di tolok. Ktp saya sudah pas. Kok malah di bilang ID ktp sya tidak bisa untuk upgred. Gara² saya tidak bisa upgred.  Untuk penarikkan saldo Rp.700.000 tidak bisa saya tarik. Padahal s...Ulasan LengkapSaya sangat kecewa dengan aplikasi gojek. Sudah berulang-ulang kali saya upgred untuk tarik saldo saya. Ehh... Malah di tolok. Ktp saya sudah pas. Kok malah di bilang ID ktp sya tidak bisa untuk upgred. Gara² saya tidak bisa upgred.  Untuk penarikkan saldo Rp.700.000 tidak bisa saya tarik. Padahal saya sudah sangat lama mengunakan aplikasi gojek,dan bahkan sya sampai promosikan ke saudara/teman sya.",4088.4784054214,4415.6372712972,negatif
Disaat mendapatkan driver saat order go food saya tidak dapat membalas chat dari driver karna dari aplikasi tertulis akun terblokir . Sedangkan driver menunggu balasan chat saya . Akhirnya 3 driver meng cancel orderan saya dan saya jalan kaki malam2 beli makan sampai sendal saya putus . Sendal 10 ri...Ulasan LengkapDisaat mendapatkan driver saat order go food saya tidak dapat membalas chat dari driver karna dari aplikasi tertulis akun terblokir . Sedangkan driver menunggu balasan chat saya . Akhirnya 3 driver meng cancel orderan saya dan saya jalan kaki malam2 beli makan sampai sendal saya putus . Sendal 10 ribu = ongkir 10 ribu,3550.4947817996,5896.7154511837,negatif
Mau ganti no tlp aja susah ... udah tau no tlp akun gue pakai no tlp hangus/blokir. Go pay gue punya isi cukup lumanyan. Beli apa aja atau pakai go life pun kode verifikasi. Kan saya harus gimana coba??? Go jek SDM bagus harus solusi tercepat doang!!!!!,1370.2183400001,1755.8261561604,negatif
"Saya kok skrg tidak bisa mengakses gojek ini gimana. Kecewa saya, masa permintaan anda di tolak, gitu2 trs muncul nya. Tolong dong di benerin dulu ini akun saya",251.8010185354,322.9123911434,negatif
"Para ojol gojek.diharapkan ketika seseorang lagi kepepet ga bisa pesen online karena hp low bat,pesan nya secara off line,jangan dinaikin dong harganya.mau berapa pun gw kasih tapi ga gitu juga caranya.orang lagi kesusahan kok malah jadi tempat mereka mencari kesempatan.",547.7438600329,967.4413317754,negatif
"Ok, Sebelum uninstall, mau kasih bintang 1 dulu, karena pada saat ingin memakai fitur gojek, selalu ""FORBIDEN REQUEST"" sudah mencoba cara di youtube, google, tidak ada hasil, sudah contact CS, sepertinya tidak ada hasil, dan yang saya dengar dari teman pengguna gojek, harus ganti device, jadi saya p...Ulasan LengkapOk, Sebelum uninstall, mau kasih bintang 1 dulu, karena pada saat ingin memakai fitur gojek, selalu ""FORBIDEN REQUEST"" sudah mencoba cara di youtube, google, tidak ada hasil, sudah contact CS, sepertinya tidak ada hasil, dan yang saya dengar dari teman pengguna gojek, harus ganti device, jadi saya putuskan untuk pindah ke vendor sebelah yaitu GRAB.",6163.9729804865,5833.8301350972,negatif
Woyyy napa akun gojek upsss ada yg salah trs? Coba login d hp lain bisa. Lu mabok apa gimana ? Masa di hp gw sendiri error. Voucher langganan gw masih banyak cuk!!!!!,479.6006380505,626.0414830729,negatif
Mau order tp driver byk alasan minta dibatalin. Dah saya batalin akun saya malah ndk bisa digunakan. Tolonglh kasi peringatannya tuk drivenya jangan ke konsumennya. Saya lagi butuh cepat malah seperti ini. Kecewa sekali,678.7554021841,660.061859567,negatif
"Rute dari gojek tidak sesuai,harusnya lewat jalan aspal lebih cepat jarak tempuhnya,ternyata lewat jalan tanah dan makin jauh jarak tempuhnya dibuat muter melewati rumah liar,kandang kambing,jln becek dan bebatuan.sangat mengecewakan!apakah ini untuk menambah biaya transportasi nya?",812.921010333,1326.8793562017,negatif
"Gojek kontol katanya ada promo, promo cuma buat anak baru doank, kami yang lama tak ada promo apa apa, cuman di PHP in aja, katanya APK KARYA ANAK BANGSA Tapi cuman HOAX yang bikin orang luar negri juga, menyusahkan rakyat INDONESIA",1151.5364472942,1299.5799117857,negatif
"Seharus nya ada penyelarasan tarif ketika ubah tujuan saat kita sudah posisi driver mengantar kita,lah ini di rubah harga sama , mendingan sebelah dah , tolong ya kalo kaya bgini bikin konsumen rugi dan kecewa",814.0109935506,1260.4270203591,negatif
Aplikasi penipuu ada cashback cashback tai Pass gw beli malah gak ada cashback nya rugi gw uninstall aja njirr ahh gak guna niat top up game murah malah rugi gara gra apk ini kalo bisa perbaiki lagi gw rugi :( mendingan pake grabb:). App anak bangsat,1963.1408890994,2010.9854051735,negatif
Gimana ini kak saya sudah withdraw dari akun gojek driver ke akun gopay kostumer milik saya tetapi tidak bertambah saldonya? Nomer hpny juga udah sama sudan ke 2x nya ttep saldo gopay saya 0..mohon di tindak lanjuti kalau mau saya rating bintang5 wlpun nominal gak seberapa tapi itu kan hak saya.. To...Ulasan LengkapGimana ini kak saya sudah withdraw dari akun gojek driver ke akun gopay kostumer milik saya tetapi tidak bertambah saldonya? Nomer hpny juga udah sama sudan ke 2x nya ttep saldo gopay saya 0..mohon di tindak lanjuti kalau mau saya rating bintang5 wlpun nominal gak seberapa tapi itu kan hak saya.. Tolong kerja samanya kenapa belum d urus?,4231.9273767791,6830.8497849492,negatif
"Gopay masi ada saldonx tp tidak bisa d gunakan,,,tolong d perbaiki lg akunx jng bikin kecewa pelanggan,,,cz sy uda lama pakai gojek knapa sekarang terkendala,,,mau mengunakan gopay tidak bisa",574.973668563,630.5500786205,negatif
"Kenapa sekarang sudah tidak ada argo lonjakan utk driver dikala hujan?? Di aplikasi customer argo nya naik, tp di aplikasi driver argonya gak naik.. Argo lonjakan nya di telen aplikator!!! Driver yg basah2an, resiko besar tp gak dihargai!!!!",628.0787374684,499.5251730487,negatif
"Update baru makin parah, ini kenapa saya mau pesan goride dan gofood tidak bisa di hp saya setelah update, padahal sebelum update normal2 aja. Tapi pas saya logout dan login di hape lain bisa, kenapa hanya di hp saya yang gak bisa. Masa iya saya mau pesen apa2 harus pinjem hp orang lain dulu, makin ...Ulasan LengkapUpdate baru makin parah, ini kenapa saya mau pesan goride dan gofood tidak bisa di hp saya setelah update, padahal sebelum update normal2 aja. Tapi pas saya logout dan login di hape lain bisa, kenapa hanya di hp saya yang gak bisa. Masa iya saya mau pesen apa2 harus pinjem hp orang lain dulu, makin aneh.",3178.4546678638,4509.8123683208,negatif
"Cs nya tidak menyenangkan. Berkali2 menelepon berkali pula sibuk. Twitter pula, DM tidak direspon. Mention juga tidak direspons, padahal cust. Lain direspon... Mon map, saya nggak resprct sama kalian lagi",180.2596313116,282.3990253384,negatif
Kenapa hanya pengguna baru saja yang kalian perhatikan? Apa kabar pengguna lama yang selalu pakai gopay dan melakukan mission berkali-kali tapi statusnya tetap tidak selesai. Dan gopay-nya juga suka berganti jadi tunai padahal isi gopay masih banyak. Promo pun cuma berlaku untuk pengguna baru. Pengg...Ulasan LengkapKenapa hanya pengguna baru saja yang kalian perhatikan? Apa kabar pengguna lama yang selalu pakai gopay dan melakukan mission berkali-kali tapi statusnya tetap tidak selesai. Dan gopay-nya juga suka berganti jadi tunai padahal isi gopay masih banyak. Promo pun cuma berlaku untuk pengguna baru. Pengguna lama seperti di anak tiri-kan. Tolong diperbaiki pelayanannya!,4867.8842327122,4814.012908135,negatif
"Saya Padang dan saya page gofood untuk berjualan via online, tapi saya kecewa krn setiap hujan atau ada antrian 2,3 orang drivernya tidak sabaran dan mbatalkan orderan, trs apa gunanya aplikasi ini kalo antri sedikit tdk mau, hujan sedikit tidak mau, orang kalo mau sukses hrs mau bersusah payah, tol...Ulasan LengkapSaya Padang dan saya page gofood untuk berjualan via online, tapi saya kecewa krn setiap hujan atau ada antrian 2,3 orang drivernya tidak sabaran dan mbatalkan orderan, trs apa gunanya aplikasi ini kalo antri sedikit tdk mau, hujan sedikit tidak mau, orang kalo mau sukses hrs mau bersusah payah, tolong di tingkatan lg pelayannya,",5049.3833070039,6165.1810821564,negatif
"Saya kecewa dengan gojek, karena Ongkos goride mahal di daerah Lampung, penawaran harga terhadap penumpang sangat menurun, tidak menarik lagi; pdhl secara Pelayanan driver kpd Penumpang sangat bagus dan memuaskan. Mohon evaluasi secepat mungkin (Kritik Konstruktif).",850.2050994323,867.8135255076,negatif
Aplikasi ga jelas..saya tidak merasa pakai paylater ..ak di tagih paylater..dan tiap hari tagihannya bertambah karena tdk membayar..dasar aplikasi PEMAKAN RIBA.. AK GA MERASA PAKAI PAYLATER..kenapa saya tiba2 di tlp pihak pay later buat bayar tagihan...Mending Uninstal..aplikasi cuma menjebak costum...Ulasan LengkapAplikasi ga jelas..saya tidak merasa pakai paylater ..ak di tagih paylater..dan tiap hari tagihannya bertambah karena tdk membayar..dasar aplikasi PEMAKAN RIBA.. AK GA MERASA PAKAI PAYLATER..kenapa saya tiba2 di tlp pihak pay later buat bayar tagihan...Mending Uninstal..aplikasi cuma menjebak costumer..,1679.1657685882,3157.0402602671,negatif
Aplikasi gojek di hp saya eror.. Sudah berbagai cara tetap eror.. Seperti di suspend.. Dan saya gak tau apa penyebabnya.. Maaf saya pindah aplikasi.. Saya kecewa.. Padahal saya cinta buatan anak bangsa negeri tercinta ini..padahal aplikasinya sangat membantu dan mudah di mengerti hampir semua umur.....Ulasan LengkapAplikasi gojek di hp saya eror.. Sudah berbagai cara tetap eror.. Seperti di suspend.. Dan saya gak tau apa penyebabnya.. Maaf saya pindah aplikasi.. Saya kecewa.. Padahal saya cinta buatan anak bangsa negeri tercinta ini..padahal aplikasinya sangat membantu dan mudah di mengerti hampir semua umur.. Terimakasih kerja sama nya..padahal baru 2 minggu saya gunakan jasa ini. Sebelumnya belum pernah sama sekali. Bahkan aplikasi lain. Hanya ini yg saya percaya. Terimakasih,8830.4109987331,10244.8984622992,negatif
"Padahal akun customer tidak pernah di buka lagi, tapi kenapa ada tagihan findaya?? Dan kenapa saya mau masuk ke akun customer tidak bisa?? Tolong di bales",162.3191327971,256.9125169904,negatif
Kecewa dengan paylater aplikasi ini. Seenak enaknya nagih dan telpon terus padahal tagihan sudah dibayar.. Pakai bilang mau lewat orang ketiga lagi.. Tolong dong aplikasi ini jangan menyiksa rakyat.. Sok tujuan mempermudah tapi menyiksaa.. Paylater ohh.. Bekukan saja aplikasi ini kalau tdk dpt berta...Ulasan LengkapKecewa dengan paylater aplikasi ini. Seenak enaknya nagih dan telpon terus padahal tagihan sudah dibayar.. Pakai bilang mau lewat orang ketiga lagi.. Tolong dong aplikasi ini jangan menyiksa rakyat.. Sok tujuan mempermudah tapi menyiksaa.. Paylater ohh.. Bekukan saja aplikasi ini kalau tdk dpt bertanggung jwab,2600.8338545446,3798.891075196,negatif
"Saya top up gopay di gerai alfamart, dari toko nya sudah sukses tapi kenapa saldo nya gak masuk masuk. Sudah saya komplainkan lewat email tapi tidak ada respon sama sekali sampai sekarang. Saldo saya masih belum masuk",646.8708210476,579.6282611049,negatif
