komentar,sentimen
Aku udah sering pake aplikasi GOJEK inii...dan hasilnya ngga mengecewakan aku oesen gofood di aplikasi gojek ini terima kasih GOJEK udah bisa bantu aku pesen makan online semangat terus gojek...semoga bisa terus berkembang lebih baik lagiii semangaat!!!,positif
Akun driver saya kasih gacor dong... Salaam satu aspal!,positif
Akun gacor jdi budeg begini..sok yg paud jgn bermalas malasan..klo mu fokus2..klo mau sampinggan sampinggan j..gojeg skrang kasih kesempatan jgn di siakan..biarkan yg skema tinggi gagu dulu demi mitra semuanya..salam satu aspal,positif
Alah gpp yg jemput ga make jaket dan beda motor! Yg penting kan di anter dengan selamat tanpa minta bayaran lebih....! Sedangkan kalo nunggu customer bisa lama minta jemput sih GC² giliran kita GC² dia nya yg lama huu... nasib drever mah serba salah di mata kantor dan penumpang...! Oiya maaf² aja bi...Ulasan Lengkap,positif
ALAN alan ini dia foto bugil artis Korea yang cocok ya dah punya,positif
Alat transport yg sangat membantu didalam perjalanan jauh...dan alat transport yg dapat membantu disaat kebutuhan sangat diperlukan..baik dlm pemesanan makanan..atau yg lainnya.. Sukses trus dan bersinar trus buat gojek..,positif
"Alhamdjlillah selama ini gojek sangat membantu kegiatan sy dan keluarga , tks gojek 👍👍👍🙏",positif
"Alhamdulih semenjak ada aplikasi gojek jadi mau kemana2 jadi gampang cepat dan nyaman,insak Allah aman",positif
"Alhamdulilah berkat goFood aku jd ga repot2 kluar rumah tiap mau beli makanan. Terima kasih ya buat driver2 Gofood yg sudah pns2an, keujanan bahkan ampe antri lama demi pesanan kami ... Dan makasi tuk owner application ini, semua kalian smua sehat selalu, berlimpah ridho allah swt dan selalu amanah ...Ulasan Lengkap",positif
Alhamdulilah Go Foodny sesuai dengan pesanan Gojekny Ganteng banget Trims,positif
"Alhamdulilah kami Selalu bersyukur berapapun rizki yg saya terima,",positif
"Alhamdulilah pesann y udh dteng gofood bnr"" gk bkin ribet sesuai dgn pesann sya jg buat draver y is the best terima kasih... Wassalammu'alaiqum",positif
Alhamdulilah saya selalu dapet driver yg baik dan ramaj,positif
Alhamdulilah untung punya aplikasi ini. Bisa kemana pun dan mau ngapain aja bisa.,positif
"Alhamdulilah, selama menggunakan gocar/gojek, driver nya bagus dan ramah.",positif
"Alhamdulillah ,kalok ditinggal sendirian tenang kan laper ada kak go..gofood ,mau oergi ada gocar. Mksh",positif
Alhamdulillah ..sangat membantu.. mudah²an kedepan makin the best lagi. Makin berjaya.. Allahu Akbar 🤲,positif
"Alhamdulillah aplikasi Gojek bisa membantu kita semua, semoga aplikasi ini berkah buat driver dan pengguna Gojek lainnya. Terimakasih Gojek!!!!! ""Karya Anak Bangsa"" 😘😘😘😘😘🥰😘😍😍😍🤩🤩🤩",positif
"Alhamdulillah aplikasi nya bagus dan mantap terima kasih... Saya bisa pake buat kerja atau jalan""",positif
Alhamdulillah aplikasi nya bagus kalok kita punya Kouta 😅,positif
"Alhamdulillah bagus smga tambah suksek sllu go jek,I love you barokallohulakum",positif
Alhamdulillah baikk cepat .. semoga gak da yg berubah ya,positif
Alhamdulillah baru pertama pake hasilnya memuaskan sangat membantu dengan diskon n cepet prosesnya,positif
"Alhamdulillah berkat gojek perjalanan lebih cepat, adem, dan ringan d kantong .........😀😀😀",positif
"Alhamdulillah dengan Gojek, semua urusan jadi lebih mudah dan aman. Terimakasih Gojek👍👍",positif
"Alhamdulillah dgn adanya gojek,jadi mudah kemana2,membantu ekonomi para ojol,para driver gocar,terima kasih gojek,selalu lah perhatikan para mitra gojek,ojol,driver gocar juga,,,, Semoga semakin jaya gojek🙏",positif
Alhamdulillah dng ada gojeg sangat mambantu saya antar jemput anak saya,positif
Alhamdulillah dr goride & gocar selalu dpt pengemudi yg baik..semoga trs dipertahankn & bs lbh baik & makin baik lg..sukses trs👌👍🙏,positif
Alhamdulillah gojek online sangat membantu untuk orang yang gak punya kendaraan saya salut indonesia ada aplikasi on line saya kasih bintang 5 terima kasih google,positif
Alhamdulillah gojek selalu memberikan yg terbaik untuk memenuhi kebutuhan keluarga saya terimakasih...PT karya anak bangsa ☺️☺️☺️,positif
"Alhamdulillah gojek skrng makin maju,semoga ke depan nya bisa makin maju lagi,karena sangat membantu sekali bwt kita2 terutama saya...semoga developer nya juga bisa menyaring lagi mana yg bener2 ingin menjadi driver dan driver yg hanya menjadikan kedok atribut gojek...semoga ini bisa di perhatikan y...Ulasan Lengkap",positif
Alhamdulillah kemana mana mudah dia akses dgn aplikasi ini ☺,positif
Alhamdulillah makasih Go Pay... Jadi dpt bertransaksi dg mudah dan gak ribet... Kereeennn 👍👍👍👍👍,positif
alhamdulillah masih di kasih rezeki buat saya dan kluarga lewat aplikasi ini .. trimakasih gojek ..,positif
Alhamdulillah saya kebantu dg adanya aplikasi ini terutama kalo mls kluar pngn makan di gofood aja enteng,positif
Alhamdulillah sekarang mau kemana2 bisa naik GO-CAR wl hujan tetep bs kmn2. Memudahkan berpergian yg tdk punya mobil. Mager dirmh pun tetep bs beli makanan enak😁,positif
Alhamdulillah selama order gojek dapet driver yang ramah2 hehe. Semoga semakin sukses ya gojek 😍💕,positif
Alhamdulillah selama saya menggunaka gojek tak pernah bermasalah dan selalu dapet driver yg ramah,positif
"Alhamdulillah sll dpt driver yg sopan, pelayanan oke. Aplikasi jg bagus sangat membantu.",positif
Alhamdulillah tdk pernah kecewa dan slalu terantar ke tempat tujuan,positif
Alhamdulillah terbantu dengan a dnya aplikasi ini,positif
Alhamdulillah tuyul gak ada lagi tapi yg canjer tolong di pm,positif
"Alhamdulillah ya Allah makasih para bos"" gojek dan yg ikut serta di dalamnya saya slalu bersyukur meskipun dari jam 5 pagi sampe jam 3sore baru dapet 1 tp gpp rezeki udah ada yang ngatur insyaallah masih ada besok tetep semangat sukses terus🙏",positif
"Alhamdulillah, lebih mudah menggunakan aplks Gojek. Karena Gojek menyediakan semua yg d butuhkan",positif
"Alhamdulillah,ada gojek jd kaya punya kendaraan dan hidangan sendiri,apapun kemauan saya dan keluarga terpenuhi tinggal mainkan jari ok deh,thanxs gojek👌",positif
"Alhamdulillah,di usia saya yg sudah tidak muda lagi.Berkat ada nya aplikasi arya anak bangsa ini,saya masih bisa mencari nafkah untuk anak dan istri. Terus maju Pt.Gojek Indonersia berikanlah yg terbaik untuk kami,seperti juga kami memberikan pelayanan yg terbaik untuk seluruh customer kami. Amin",positif
"Alhamdulillah,pelayanannya memuaskan...",positif
"Alhamdulillah,sangt membantu dmalam hari ketika lapar melanda....🤭🤭🤭",positif
Alhamdulillah.. go jek membantu.. semoga ada terobosan baru kemajuan mitra driver,positif
Alhamdulillah...cepet...nyaman berkendaranya..sopan santun...ramah driver nya....,positif
"Alhamdulillah...terima kasih saya ucapkan,karna dengan adanya transportasi gojek sangat membantu saya untuk bepergian",positif
Alhamdulillah..bapak dan aa gojek sangat membantu..anter kiriman buat pelanggan dan adik yang lagi sakit.Terima kasih banyak,positif
"Alhamdulillahirobbil'alamin...selamat sampai tujuan...semoga kita selalu sehat,begitu juga Bapak pengantarnya,semoga lancar dan dimudahkan segala urusannya....Aamiin",positif
Alhhandulilah de semejak ada gojek bisa kmqna ga ribet tingal klik doang tungu dah santuyy ... emang sih kdang2 aga lama tpi lumayan puas soaalya klo lgii perlu ga ribet Mkasih gojek... hahqh,positif
"Allhamdulillah amanah,tepat waktu,ramah,sopan😇",positif
"Aman dan dapat dipercaya, pertahankan kepercayaan publik, GBYou",positif
Aman nyaman dan sopan makasih,positif
Aman selamat lancar barokah.,positif
"Aman, nyaman Gunakanlah hasil karya anak bangsa sendiri",positif
Aman..cekatan. Mudah di akses.. maju terus aplikasi buatan anak negeri.. Go..Go.. Go..,positif
"Amanda, nyaman dan mempercepat waktu",positif
"Amat sangat membantu dengan ad nya gojek , terimakasih 😊",positif
Amat sangat membantu sekali,positif
"Anda sangat membantu,trimaksaih byk sukses slalu....",positif
"Andai saya punya kesempatan ktemu untuk bertemu BPK KEVIN... saya ingn bisikin ngomong ke doi.. ""Broo... driver"" anda pada sekarat noh.. Motornya bnyk yg ditarik leasing, Digugat cerai bininya, karna gak bisa buat bayr kontrakan, anak kelaperan maupun gak bisa memberikan jajan PD saat anaknya keseko...Ulasan Lengkap",positif
Anjir bangyak bngt orang pelit ya di indo dah tarif murah masih di bilang mahal otaknya di dengkul kalo ya,positif
Apa gojex ini bisa buat masa depan anak bangsa ini.,positif
"Apakah bisa dibuatkan screenshot, rute yang dilalui driver setelah pengantaran? Sangat bagus untuk berjaga-jaga jika kami memesan buat anak-anak. Terima kasih.",positif
Apakah bisa uang Gopay untuk tranpers antar bank . untuk melancarkan transaksi jual beli onlein,positif
"Apalikasinya bagus,tapi kenapa saya gabisa nge chat ya",positif
"Apapun kebutuhan anda, gojek iin ajaa, pasti berees.",positif
Apk anak bangsa maju terus...jadi tuan di negri sendiri..jgn biarkan apk tetangga menguasai...good job gojek,positif
"Apk bagus,cukup mudah pergi kemana mana dan tentunya hemat juga. Pelayanan yang sangat baik. Thx",positif
Apk bagus. Tapi tolong gpsnya. Yg pas ya.,positif
"Apk ini sangat keren , dan sangat membantu",positif
Apk ini sangat membantuh dan memudahkan segala urusan saya,positif
"Apk nya bagus, drivernya baik2 dan terpercaya",positif
"Apk nya membantu tapi tolong di buat agar lebih kompertebel dengan semua perangkat hp dan semua jaringan gps nya, tolong di Bantu",positif
"Apk nya sangat bagus,, tidak ada kendala sama sekali ,, pelayanan nya juga cepat",positif
Apk nya sangat membantu. Tpi tolong dong kenapa apk gojek drive tidak bisa top up ke akun gojek custamer. Padahap email dan nomornya sama. Di gojek custamer dan gojek drive. Mohon bantuan nya ya,positif
"Apk yg bagus, memudahkan segala kebutuhan kita . Pokoknya keren dehh.",positif
apk yg sangat berguna bagi masyarakat Indonesia. Tetaplah menjadi nomor 1. Numero uno Gojek👍,positif
Apk yg sangat membantu dan menunjang kemudahan di era serba digital,positif
"APL ini sangat berguna & sangat membantu sekali, sampai sekarang alhamdulillah saya blm pernah ada masalah.. Dan mudah""an tidak akan pernah ada masalah & selalu bisa memberikan kepuasan kepada semua konsumen nya,. Aamiiin Ya Robb.",positif
"Apl luarbiasa bagus.. Selain membantu dlm menjemput atau bepergian, ataupun sekalian mengantar makanan ini sangat membantu",positif
"Apl memudkn qt untuk ap aj..q suka dngan apl ini..terpercyaa,,",positif
Apl oke.. driver juga ramah ... pesanan cepet nyampaix meski sedang hujan lebat ... mksh byk ya gojek ..... @nanda,positif
Aplakasi ini sangat baik.,positif
Aplikasi ajib dan bermanfaat sekali,positif
"Aplikasi anak bangsa paling bagus, saran saya jgn kasih voucher potongan ongkir di layanan gofood min, kasian drivernya. Mending kasih cashback aja buat customer jadi driver gak merasa terbebani dan customer senang krn dpt cashback dari gojek. Thank you min...",positif
"Aplikasi anak bangsa sudah seharusnya memberikan kemaslahatan untuk seluruh coustumer dan tidak lupa mensejahterakan seluruh driver disamping menvari keuntungan bagi PT GI sendiri, Kenyataannya,,, Pelayanan terhadap ctm menjadi kurang maksimal krn jarak penjemputan driver/jarak pengantaran food yg t...Ulasan Lengkap",positif
"aplikasi anak bangsa yang bagus, cara mudah untuk cari transportasi dan makanan 👍",positif
"Aplikasi anak bangsa yg bagus dan bermanfaat . Mwngurangi jumlah pengangguran di indonesia . Mantapp ,, maju terus karya anak bangsa 💪💪",positif
"Aplikasi anak bangsa, yang memudahkan anak bangsanya sendiri",positif
"Aplikasi anak negeri yang patut diberi jempol dan award, tapi jgn lupa obral obral lah hadiah, jgn kuatir pasti ada imbalannya",positif
"Aplikasi bagus bisa buat alternatif pembayaran dan banyak promonya, recommended buat yang lain.",positif
Aplikasi bagus sangat membantu Semua jadi tertolong 👍,positif
"Aplikasi bagus, Ditingkatkan lagi ya 👍",positif
"Aplikasi Bagus, memudahkan dalam perjalanan.",positif
"aplikasi bagus, sangat memudahkan dalam segi bisnis",positif
"Aplikasi bagus,, sangat membantu sya,,👍👍",positif
Aplikasi Baik banget.. cuman ada saya masukan tolong untuk gofood ..tempat makan diseleksi dong.. saya pernah pesan makanan Basi..saya keracunan..trims,positif
"Aplikasi cukup membantu dan memang kami butuhkan untuk urusan bisnis dan keluarga, sukses selalu Gojek milik Indonesia",positif
Aplikasi dgn fitur2 yg super komplit...👍,positif
"APLIKASI DRIVER & KONSUMEN GOJEK TIDAK BENAR.OOOIII GOJEK.MAUNYA APA?ORDER MASUK,DI CHATTING TDK BISA,DI TELPON TIDAK BISA.AKHIRNYA ORDER DI BATALKAN KONSUMEN.",positif
Aplikasi driver nya donk di buat bagus lagi rating nya biar masyarakat bs bangga di aplikasi anak bangsa seimbang aplikasi driver dan penumpang nya jalan dengan berbarengan jgn hanya mementingkan IPO saja tapi masyarakat Indonesia ini sudah banyak dan hampir menaruh sehari harinya dengan menjadi oje...Ulasan Lengkap,positif
Aplikasi e money.pembayaran elektronik dan jasa belanja dan angkutan antar jemput yang komplek,positif
Aplikasi error tolong di perbaiki posisi driver terdekat saya ada banyak tapi cuma 1 yang kebaca atau terlihat gambar motornya itu pun jauh jaraknya dari posisi saya dan ini sudah saya perhatikan di minggu2 ini.,positif
aplikasi giojek ini Membantu banget dalam kehidupan saya sehari hari dari mulai pergi makan isi pulsa cek kesehatan Bahakan saya gak perlu bawa duit cas banyak banayak Karen saya pakai go pay pokok nya membantu banget gojek bisa bikin hari hari saya lebih mudah Terimakasih gojek atas layanan nya,positif
"Aplikasi go-jek nya sih bagus yaa, banyak kasih promo. Cuma resto2nya licik yaa, harga dinaikkan biar kesannya kasih diskon besar. Sampe2 harganya macam harga di resto hotel bintang 5, padahal cuma kaki lima. Kenapa sih resto2 cuma ngejar untung semata, gak memikirkan adab jual beli, kejujuran dlm b...Ulasan Lengkap",positif
"aplikasi gojeg simpel, mudah dan terpercaya",positif
Aplikasi gojek bikin kebutihan kita terpenuhi terima kasih,positif
aplikasi gojek driver sangat membantu perekonomian saya dan keluarga. terima kasih banyak GOJEK,positif
Aplikasi gojek emang mudah banget dipakai! Daftar akun juga gampang dan ga ribet. Sukses terus!,positif
Aplikasi Gojek ini Bagus Dan Nyaman untuk mengantarkan ke tujuan,positif
Aplikasi gojek ini saat bagus untuk saya dan tidak ribet mau pergi kemana aja dan lebih mudah dengan aplikasi gojek ini yg terhebat,positif
Aplikasi gojek ini sangat membantu dalam aktifitas ke seharian saya dan menjadi berkah rejeki bagi banyak orang. Trm ksh Bpk Nadiem,positif
Aplikasi gojek ini sangat membantu saya karna sangat mudah digunakan untuk isi ulang pulsa/kuota..dan gojek juga bisa di jadiin tempat top up game online..makanya tunggu apalagi download gojek sekarang gaess,positif
"Aplikasi gojek ini sangat membantu saya, pokoknya is the best dehhhh...",positif
"aplikasi gojek ini sangat membantu saya,daftarnya juga gk ribet.Pokok nya the best dech 😘",positif
Aplikasi gojek ini sebenarnya bagus tapi ada kurang nya sedikit yaitu kirim foto/video pada fitur chat,positif
Aplikasi Gojek keren sekali. Sangat memudahkan dan membantu kami Pengusaha UMKM dalam hal memenuhi kebutuhan pesanan masyarakat. Bangga ada Anak Bangsa bisa punya Perusahaan Kelas Dunia. Semoga Gojek tambah Maju dan Berkembang. Ikut mensejahterahkan perekonomian di Indonesia. Manfaat nya lebih luas ...Ulasan Lengkap,positif
"Aplikasi gojek mantul ,, memberikan tambahan fasilitas paylater meskipun limit awal 100rb smoga bisa terus up untuk pelanggan setia dan pembayaran yg bagus😊",positif
"Aplikasi Gojek sangat bagus👍 Gofood yg anter makanan cepat nyampe,ramah,jujur dan sopan, Gak mengecewakan aplikasi Gojek👍 Saya sangat puas👍👍 Thank you Aplikasi GOJEK Semoga Sukses selalu ya👍👍👍👍",positif
Aplikasi gojek sangat membantu dalam aktivitas saya setiapa hari...,positif
"Aplikasi Gojek sangat membantu karna bisa isi saldo di indomaret dan di alfamart Dan juga bisa untuk menggisi pulsa dan top up,,Terima kasih gojek",positif
Aplikasi gojek sangat membantu saya untuk mencari makanan,positif
"Aplikasi gojek sangat membantu sekali,sukses terus gojek 👍",positif
"Aplikasi gojek sangat membantu, puas lah pokoknya!!",positif
"Aplikasi ini bagus, tapi akan lebih baik lagi jika di tambahkan foto profil. Jadi driver bisa melihat foto penumpang agar tidak salah orang.",positif
"Aplikasi ini benar benar membantu saya untuk berpergian jauh ,,apalagi dengan keadaan saya yang tidak bisa mengendarai sepeda motor dan menyetir mobil",positif
"Aplikasi ini bikin jadi lebih mudah karna kalo lagi males keluar beli makan, inilah itulah pokoknya gampang banget 🤟🤟🤟🤟",positif
aplikasi ini melancarkan kegiatan saya.dapat untuk bayar bayar dan juga bisa isi pulsa saat duit lagi nanggung pakai pay leter.pokoknya sip banget.,positif
Aplikasi ini membantu sekali untuk melakukan transportasi maupun melakukan pembayaran.,positif
Aplikasi ini membuat saya merasa bermanfaat bagi kita semua 👍👍🙏😊,positif
"Aplikasi ini memudahkan hidup, smoga yg buat aplikasi ini di berikan kemudahan oleh Allah dlm hidupnya aminn..",positif
Aplikasi ini mendukung sekali untuk kegiatan sehari hari,positif
Aplikasi ini mudah untuk di jalankan dan abang gojeknya cepat sampainya,positif
Aplikasi ini murah kalau sya mau nonton bioskop sama teman saya jadi mudah tinggal pesen go car sama go food nya cpet banget,positif
"Aplikasi ini perlu di update setiap bulan nya? Merepotkan juga,mohon diberikan waktu lebih dari satu bulan, tq.",positif
Aplikasi ini sangat bagu untuk kepentingan sehari hari misalnya nggak punya motor sisa pesan gojek misalnya kalo nggak punya makana tingal pesan gojek jadi gojek dapat bintang ☆5,positif
"Aplikasi ini sangat bagus & bermanfaat...mempermudah pergi kesana kesini,& harga nya juga bersahabat. Thanks",positif
"Aplikasi ini sangat bagus dan membantu sekali bg, orang yg ingin pergi ke suatu tempat, jd perlu nunggu lama. Tiggal Booking aja, ga' lama dateng. Kita juga bisa pesen makanan favorite kita. Trus juga Gojek selalu kasih Diskon, jd lebih hemat dan efisien dibanding kita menggunakan ojek 'biasa'. poko...Ulasan Lengkap",positif
Aplikasi ini sangat bagus sekali dan pengantar pesanannya sangat rama,positif
Aplikasi ini sangat bagus sekali...sikap driver nya sangat sopan sama pelanggan nya....,positif
"Aplikasi ini sangat bagus, aku tadi pesen bakso tusuk",positif
"Aplikasi ini sangat bagus, Saat saya tidak bisa dijemput sama orang tua saya gojek ini sangat bisa membantu",positif
Aplikasi ini sangat berguna bagi yg malas keluar rumah untuk beli makan atau Diamods game,positif
Aplikasi ini sangat berguna kalian wajib download,positif
Aplikasi ini sangat berguna untuk mengakses kebutuhan² sehari-hari!!,positif
Aplikasi ini sangat bermanfaat sekali!!!,positif
"Aplikasi ini sangat membantu bagi saya karna Bisa mengantar saya ke tempat tujuan,mempesan makanan,dan harga nya sangat terjangkau ( beli makanan & naik gojek) sekitar 18k sampai 20k lah pokoknya app ini sangat bagus walaupun ada yg bilang App ini mah gak guna , bagusan grab dari pada gojek ,s aya n...Ulasan Lengkap",positif
"Aplikasi ini sangat membantu dalam akses pengantaran makanan, dan akses transportasi, dan banyak juga promo promo menarik, dan ada juga misi misi yg sangat seru untuk di selesaikan, aplikasi ini sangat membantu💯👌.",positif
"Aplikasi ini sangat membantu dimana pun kapan pun, apalagi saat malem, solusi untuk beli makan tapi mager",positif
"aplikasi ini sangat membantu kebutuhan saya setiap saat,terima kasih atas layanannya,",positif
